Course Name,Abbreviation,Course Description
Deep Learning with TensorFlow - Level 2,DLTF1,"Neural networks, CNNs, RNNs, and TensorFlow implementation."
Data Communication - Level 2,DCOM2,Techniques for presenting analytical findings effectively.
Natural Language Processing - Level 5,NLP3,"Text mining, sentiment analysis, and NLP models using Python."
Applied Econometrics - Level 5,AECO4,"Regression analysis, panel data, and econometric modeling."
R Programming for Statistics - Level 2,RSTAT5,"Focuses on R programming, statistical modeling, and visualization."
Time Series Analysis - Level 4,TSA6,"ARIMA, forecasting, and temporal data modeling."
Data Storytelling - Level 5,DST7,Methods for turning data into compelling narratives.
Python for Data Analysis - Level 3,PYDA8,"Covers Python basics, NumPy, Pandas, and data cleaning for analytics."
Deep Learning with TensorFlow - Level 1,DLTF9,"Neural networks, CNNs, RNNs, and TensorFlow implementation."
Computer Vision - Level 1,CV10,"Image processing, CNN models, and object detection."
Cloud Computing for Data Science - Level 1,CCDS11,"AWS, Azure, and GCP for scalable analytics solutions."
Time Series Analysis - Level 4,TSA12,"ARIMA, forecasting, and temporal data modeling."
ETL and Data Warehousing - Level 5,ETLDW13,"Data pipelines, warehousing, and ETL tools for analytics."
SQL for Data Science - Level 3,SQLDS14,"Teaches SQL queries, joins, subqueries, and database management."
Business Forecasting - Level 1,BF15,"Forecasting demand, sales, and financial trends using models."
Business Analytics - Level 5,BA16,Frameworks for analyzing and interpreting business data.
Advanced SQL Optimization - Level 4,ASQL17,"Query tuning, indexing, and stored procedures for performance."
Statistics for Data Science - Level 5,STDS18,Core statistics concepts applied to data analysis.
Data Mining Techniques - Level 1,DMT19,"Clustering, classification, and association rule mining."
Business Analytics - Level 5,BA20,Frameworks for analyzing and interpreting business data.
Business Analytics - Level 5,BA21,Frameworks for analyzing and interpreting business data.
Statistics for Data Science - Level 3,STDS22,Core statistics concepts applied to data analysis.
Data Visualization with Python - Level 1,DVPY23,"Matplotlib, Seaborn, and interactive visualization techniques."
Applied Econometrics - Level 2,AECO24,"Regression analysis, panel data, and econometric modeling."
Deep Learning with TensorFlow - Level 4,DLTF25,"Neural networks, CNNs, RNNs, and TensorFlow implementation."
Power BI for Business Intelligence - Level 5,PBI26,"Covers Power BI modeling, DAX, and dashboard creation."
