job_title,company,location,experience,posted,description,skills
Analyst,Eclerx,Mumbai,02 Yrs,2 Weeks Ago,At Eclerx We Believe In Nurturing Talent And Providing Handson Experience  Eclerx F,Investment Banking Capital Market Derivatives Investment Banking Operations Fixed Income Settlements Trading Data Management
Record To Report Ops Analyst,Accenture,Gurugram,35 Yrs,1 Day Ago,Qualifications Any Graduation Skill Required Record To Report  Intercompany Account ,Service Operations Journal Entries Forecasting Reporting Analysis Record To Report Hlookup Macros Data Analysis
Lead Specialist Metrics Analytics  Reporting,Mercer,Noida Gurugram,510 Yrs,2 Weeks Ago,Company Mercer Description We Are Seeking A Talented Individual To Join Our Transf,Project Management Call Center Operations Presentation Skills Rta Wfm Data Analysis Mis Reporting Forecasting
Analyst,Barclays,Chennai,110 Yrs,1 Week Ago,Ca And  Or Mba Graduates With Strong Academic Record And Few Years Of Experience In Ac,Analyst Financial Reporting Finance Service Excellence Financial Risk Management Continuous Improvement Operations Cost
Analyst  Angular,Deloitte Consulting,Bengaluru,04 Yrs,1 Day Ago,Deloitte South Asia Llp Y Our Potential Unleashed I,Automation Data Management Performance Management Analytical Machine Learning Javascript Workflow Business Intelligence
Lec Analyst Lec Analyst,Jpmorgan Chase Bank,Bengaluru,010 Yrs,5 Days Ago,Shift Timing 30 Noon To 30Pmrequired Qualifications Capabilities And Skills  Ca  Mb,Automation Us Gaap Financial Reporting Regulatory Reporting Financial Analysis Ecb Analytical German
Analyst,Crisil,Pune,25 Yrs,6 Days Ago,Required Skills  Qualificationscompetence In Reporting Tools And Dashboard Creation E,Bi Data Warehousing Sharepoint Dashboards Sql Analytics Change Control Oos
Fpa Analyst,3M India,Bengaluru,35 Yrs,3 Weeks Ago,Experience 35 Years Of Relevant Experience In Financial Planning  Analysis Or A Simi,Supply Chain Data Analysis Financial Reporting Cma Process Improvement Analytical Financial Planning Variance Analysis
Advertising Ops Analyst,Amazon,Bengaluru,06 Yrs,1 Day Ago,Bachelors Degree Experience Analyzing Data And Best Practices To Assess Performance Dri,Display Advertising Data Analysis Campaign Management Analytical Ecommerce Account Management Online Advertising Operations
Programmatic  Analyst,Annalect,Bengaluru,23 Yrs,1 Day Ago,Qualifications A Fulltime Graduate Degree Mandatory 2 To 3 Years Of Experience In Ma,Public Relations Advertising Agency Analytical Consulting Market Research Support Services Troubleshooting Digital Marketing
Analyst,Nomura,Mumbai,16 Yrs,3 Weeks Ago,Experience  1 Year  Qualification  Graduate Postgraduate  Mbaca  Requisition Nop,Financial Reporting Wealth Management Mis Cma Investment Banking Investment Management Information Technology Financial Services
Workday Reporting Analyst,Leading Client,Bengaluru,45 Yrs,2 Weeks Ago,Develop And Maintain Reports Within Workday Utilizing Workdays Reporting Tools To Gen,Data Analysis Sql Reporting Analysis Advanced Excel Reporting Tools Hlookup Macros Data Analytics
Csm Ops Analyst,Xpheno,Noida,57 Yrs,3 Weeks Ago,Ability To Work In Shifts 24Xmost Likely To Work On Emea Time Zone 1230930 Pm Bach,Analyst Data Analysis Erp Automation Mis Analytical Salesforcecom Macros
Lead Analyst Fdsa,Lowes Services India Private Limited,Bengaluru,510 Yrs,3 Weeks Ago,Lowe S Companies Inc Nyse Low Is A Fortune 50 Home Improvement Company Serving,Financial Reporting Financial Analysis Analytical Corporate Finance Budgeting Microsoft Business Intelligence Financial Modelling
Abm Analyst,American Express Global Business Travel,Mumbai Gurugram Chennai,07 Yrs,4 Days Ago, 2 4 Years Of Experience In Marketing Operations Campaign Execution Or Abm Support ,Qa Senior Analyst Consulting Marketing Operations Adobe Commercial Sales Analytics Crm
Sr Analyst  Fpa,Lennox India Technology Centre Litc,Chennai,16 Yrs,1 Day Ago,Requires A Bachelors Degree Or An Equivalent Combination Of Education And Experience  ,Supply Chain Financial Statements Excel Financial Reporting Accounting Billing Manager Technology Ventilation
Senior Fpa Analyst,Qad,Mumbai,46 Yrs,1 Week Ago,The Senior Fpa Systems  Reporting Analyst Is Responsible For Executing And Mai,Financial Statements Data Management Financial Reporting Analytical Financial Planning Data Collection Data Integrity Forecasting
Fpa Analyst,Puma Energy,Mumbai,46 Yrs,3 Weeks Ago,Experience With Erp Systems And Reporting Tools Preferred  Strong Analytical And Nume,Financial Analysis Foreign Exchange Erp Analytical Forecasting Verbal Communication Business Analysis Accounting
Analyst,Uniqus,Chennai,02 Yrs,1 Day Ago,Flexibility And Willingness To Travel On Short Notice As Necessaryexperience Of Workin,Management Associate Financial Statements Financial Reporting Accounting Analytical Consulting Management Research
Fpa Analyst,Hempel,Pune,25 Yrs,1 Day Ago,Are You A Finance Professional Who Thrives On Turning Complex Data Into Actionable In,Procurement Erp Sap Financial Reporting Financial Analysis Budgeting Forecasting Analytics
Analyst,Urbanpiper,Bengaluru,13 Yrs,3 Weeks Ago,Mba  Post Graduates In Hr  Financeanalytics Or Related Fields  Or Bachelors In Eng,Settlements Hrms Hlookup Macros Data Analytics Law Data Analysis Mis Reporting
Mis Executive,Nibav Home Elevators,Chennai,15 Yrs,1 Day Ago,Required Skills  Strong Proficiency In Sql For Data Extraction Manipulation And Anal,Data Analysis Automation Business Reporting Analytical Power Bi Advanced Excel Data Visualization Microsoft
Analyst,Crisil,Mumbai Pune,01 Yrs,5 Days Ago,The Successful Candidate Should Have A Minimum Of 1 Year Of Experience In Credit Financ,Data Analysis Financial Reporting Bloomberg Financial Analysis Analytical Credit Analysis Financial Statement Analysis Financial Modelling
